Data_Hora,IdTweet,Tweet,Candidato,tweet_limpo
2022-07-30 21:56:23+00:00,1553499774732599312,@LulaOficial Sabemos o que fez no verão passado. https://t.co/Nk7ZWYjvyv,Lula, sabemos o que fez no verão passado. 
2022-07-30 21:56:23+00:00,1553499773126180865,@LuisDerieul Mentiroso. Lula tá aqui no Ceará hoje o lançamento da candidatura do Elmano ao governo estadual. Quem não ganha eleição no voto quer ganhar na base de fake news.,Lula, mentiroso. lula tá aqui no ceará hoje o lançamento da candidatura do elmano ao governo estadual. quem não ganha eleição no voto quer ganhar na base de fake news.
2022-07-30 21:56:22+00:00,1553499770773245952,@senadorhumberto @LulaOficial Só se vê grama...até os jumentos se evadiram.🤔🤫🤣,Lula,  só se vê grama...até os jumentos se evadiram.🤔🤫🤣
2022-07-30 21:56:22+00:00,1553499770378928134,"@SF_Moro Tu tá com o Lula Marreco, para de show!",Lula," tu tá com o lula marreco, para de show!"
2022-07-30 21:56:21+00:00,1553499766763536384,@LulaOficial @ricardostuckert Duvido que tenham ido de graça...,Lula,  duvido que tenham ido de graça...
2022-07-30 21:56:19+00:00,1553499759289241600,Eu quero é mais… eu quero é @LulaOficial lá e o povo lá!,Lula,eu quero é mais… eu quero é  lá e o povo lá!
2022-07-30 21:56:19+00:00,1553499757506695169,"@brunnosarttori Você fala isso, mas daí o Lula dá um carguinho pra ele e você vai dizer que é a política e não sei o quê. Engana ninguém com esse papinho",Lula," você fala isso, mas daí o lula dá um carguinho pra ele e você vai dizer que é a política e não sei o quê. engana ninguém com esse papinho"
2022-07-30 21:56:19+00:00,1553499756944556034,"@LucianoHangBr É LULA PRESIDENTE 
#ForaBolsonaroeSuaQuadrilha 
#ForaBolsonaroVagabundo 
#bolsonaromentiroso 
#BolsonaroNaCadeia https://t.co/LwfEZpCSym",Lula, é lula presidente     
2022-07-30 21:56:17+00:00,1553499750011326466,@LulaOficial @ricardostuckert Pra roubar novamente?,Lula,  pra roubar novamente?
2022-07-30 21:56:17+00:00,1553499749189287944,"@Pedro00665912 @LulaOficial @ricardostuckert Toma vergonha nessa cara. 

#SouLula",Lula,   toma vergonha nessa cara. 
